 ,,,,,,,Dolar al dia,$18.50,,% Desc Compe.,96%,,IGI,0%,Imp y Flete,23%,Dll banca,$18.75,,,,,,,Descuento Ervey,14%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Barcode,Foto URL,Nombre Eng,Nombre Esp,Descripcion,UVA Nombre,Item Code,Uni Code,Categoria,Montaje,Tipo,$ Venta,Rotacion,Stock,Status,Notes,Pedido ,$ ZG,$ Oth,$ BM,$ Ptij dll,$ Ptij mxn,Veces G,,"PRECIO
OG",PRECIO ERVEY,VG CABOS,,,,"PRECIO ESP
TIJUANA"
1603,,,,"Spectacle wear plate elephant / Placa de desgaste tipo ""espectáculo"" Elephant",,,SOM20126,86287009 / 5242002,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1604,,,,Wear ring elephant / Anillo de desgaste Elephant,,,SOM20127,258486007,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1605,,,,Wear ring elephant / Anillo de desgaste Elephant,,,SOM20128,86219006 / 22042004,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1607,,,,"Placa de desgaste tipo ""espectáculo"" Elephant / Spectacle wear plate elephant",,,SOM20130,28037000,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1608,,,,Wear strip / Banda de desgaste,,,SOM20131,258355002/ 278391004 / 28096009,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1610,,,,Pressure plate / placa de presión,,,SOM20133,259520001,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1611,,,,Wear plate / Placa de desgaste,,,SOM20134,269521001 / 259521000,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1615,,,,Piston / Pistón,,,SOM20138,2364009,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1619,,,,Hydraulic cylinder 130X80 2100 / Hydraulic cylinder 130X80 2100,,,SOM20150,262822000,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1620,,,,Cylinder barrel 130X80 2100 / Camisa de cilindro 130x80 2100,,,SOM20150,262822000,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1623,,,,Supporting ring / Anillo de soporte,,,SOM20159,259756008,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1624,,,,Head flange / Brida de cabeza,,,SOM20163,53680008,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1625,,,,Piston 130X80 2100 Complete assy / Pistón 130x80 2100 (ensamble completo),,,SOM20165,259754000,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1626,,,,Trunk b2314 / Pistón tipo tronco B2314,,,SOM20176,237965002 / 265468005,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1627,,,,Trunk leve b2314 / Palanca de tronco B2314,,,SOM20177,239511001,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1628,,,,Trunnk b2614 / Soporte de muñón B2614,,,SOM20178,410180 / 269870000,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1629,,,,Trunk lever B2614 / Palanca de tronco B2614,,,SOM20178,410180 / 269870000,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1630,,,,Trunk lever B2614 / Palanca de tronco B2614,,,SOM20179,247083000,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1631,,,,Pressure pipe / Tubería de presión,,,SOM20183,85770009,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1632,,,,Pressure pipe / Tubería de presión,,,SOM20181,50288005,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1633,,,,Flange of pressure pipe / brida de tubería de presión,,,SOM20182,82320009,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1634,,,,Hydraulic cylinder / Cilindro hidráulico,,,SOM20183,85770009,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1635,,,,Cylinder barrel / Camisa de cilindro,,,SOM20184,83637005,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1636,,,,Piston ROD / Vástago de pistón,,,SOM20185,83639003,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1637,,,,Join head complete / Cabeza de unión completa,,,SOM20186,56454008 / 54821002,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1638,,,,Guide bush / Buje guía,,,SOM20188,54219009,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1639,,,,Seal set for hydraulic cylinder / Juego de sellos para cilindro hidráulico,,,SOM20189,86677004,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1640,,,,Bearing flange closed Q40 / Brida de rodamiento cerrada Q40,,,SOM20198,202357001,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1642,,,,Rubber Disc Q50 / Disco de goma Q50,,,SOM20200,84013000,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1643,,,,PM conveying Worm Left / Tornillo sinfín izquierdo para transporte PM,,,SOM20202,249174001,Putzmeister,Sistema de bombeo de concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1644,,,,PM conveying worm right / Tornillo sinfín derecho para transporte PM,,,SOM20203,249175000,Putzmeister,Sistema de bombeo de concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1645,,,,Mixing paddle Right Hand / Paleta mezcladora lado derecho,,,SOM20206,264508005,Putzmeister,Sistema de bombeo de concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1646,,,,Mixing paddle left hand / Mezcla y homogeneiza concreto en bombas con rotación hacia la izquierda.,,,SOM20207,264507006,Putzmeister,Sistema de bombeo de concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1647,,,,Fork-G61 / Horquilla G61,,,SOM20208,62587008,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1648,,,,Sliding gear G61 / Engrane deslizante G61,,,SOM20209,62587009,Putzmeister,Transmisión mecánica,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1657,,,,Tuería en S / s Pipe,,,SOM20219,27934009,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1658,,,,Elbow 90 degree R=1000 / Codo de 90° R=1000,,,SOM20220,223664003,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1659,,,,Reduction pipe 100MM / Tubo reductor 100MM,,,SOM20221,81027002,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1660,,,,Reduction pipe 200MM / Tubo reductor 200MM,,,SOM20222,81050008,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1661,,,,"Screw coupling 5,5"" / Acoplamiento roscado 5,5""",,,SOM20223,27707001 / 426594,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1663,,,,"Screw coupling 5,5"" - 4 bolt / Acoplamiento roscado 5,5"" - 4 pernos",,,SOM20225,58102002,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1664,,,,"Clamp coupling 5.5"" / Acoplamiento de abrazadera 5,5""",,,SOM20226,417249 / 57153007,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1665,,,,"Mounting coupling 5,5"" / Acoplamiento de montaje 5,5""",,,SOM20227,57633006,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1666,,,,Tightening strap / Correa de ajuste,,,SOM20228,245103005,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1667,,,,CLAMP / Abrazadera,,,SOM20229,283846007 / 10181242,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1668,,,,ABRAZADERA EN U PARA PLUMA CON 2 TUERCAS PARA BOMBA DE HORMIGON,,,SOM20230,222709008,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1669,,,,PIPE SADDLE /,,,SOM20231,560747,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1670,,,,Sponge ball Q175 / Bola esponja Q175,,,SOM20232,26650007,Putzmeister,Sistema de bombeo de concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1671,,,,Sponge ball Q150 / Bola esponja Q150,,,SOM20233,18841002,Putzmeister,Sistema de bombeo de concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1672,,,,"Sealing 5,5"" / Sello 5,5""",,,SOM20234,55559001,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1673,,,,"Sealing 6"" / sello 6""",,,SOM20236,2231000,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1674,,,,"Flange 5,5"" / Brida 5,5""",,,SOM20239,56842008,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1675,,,,"Flange 5,5"" / brida 5,5",,,SOM20240,56852007,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1676,,,,"Twin pipe 3 mt 5,5"" / Tubería gemela 3 metros 5,5""",,,SOM20241,267522004,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1677,,,,Forward control valve 24V / Válvula de control de avance 24V,,,SOM20242,240888008,Putzmeister,Componentes eléctricos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1678,,,,HW BOOM VALVE / VÁLVULA DE PLUMA HW,,,SOM20243,255035008,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1679,,,,Control pressure regulator / Regulador de presión de control,,,SOM20245,283736007,Putzmeister,Elementos de medición y control,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1680,,,,"Valve 5/2 24VR  R1/4""/ Válvula 5/2 24V R1/4""",,,SOM20246,473835,Putzmeister,Componentes neumáticos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1681,,,,Control block / Bloque de control,,,SOM232072000,232072000,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1689,,,,Filter elemnt suction filter / Elemento filtrante para filtro de succión,,,SOM20257,5514796,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1691,,,,BOOM FILTER / Filtro de pluma,,,SOM20259,273927007,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1694,,,,Rubber cap / Tapa de goma,,,SOM20264,249520008,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1695,,,,BELLOW (NARROW MOUTH) / Fuelle (boca estrecha),,,SOM20265,241436006,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1696,,,,Star handle swicht / Interruptor de palanca en estrella,,,SOM20266,292116003,Putzmeister,Componentes eléctricos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1698,,,,Battery 2100 amper / Batería 2100 AMPER,,,SOM20271,452017,Putzmeister,Componentes eléctricos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1699,,,,WEIST BELT 82-132 CM / Correa Weist 82-132 cm,,,som20272,288778002,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1700,,,,Remote aerials / Antenas remotas,,,SOM20273,280469005,Putzmeister,Componentes eléctricos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1701,,,,Remote aerials / Antenas remotas,,,SOM20274,406519,Putzmeister,Componentes eléctricos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1702,,,,Remote aerials / Antenas remotas,,,SOM20275,225696008,Putzmeister,Componentes eléctricos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1703,,,,Remote control cable 40 MT. (32 poles) / Cable para control remoto 40 metros (32 polos),,,som20276,433776,Putzmeister,Componentes eléctricos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1710,,,,Proximity junction box 4-way cyl 1&2 / Caja de unión de proximidad 4 vías para cilindros 1 y 2,,,SOM20283,462265,Putzmeister,Componentes eléctricos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1711,,,,Bush housing 32-pol / Alojamiento de buje 32 polos,,,SOM20285,243708004,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1712,,,,BUSH HOUSING 32/POL,,,SOM20286,243709003,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1713,,,,Pressure sensor 0-600 BAR / Sensor de presión 0-600 BAR,,,SOM20289,420220,Putzmeister,Elementos de medición y control,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1714,,,,Emergency shut off / Parada de emergencia,,,SOM20292,405197,Putzmeister,Componentes eléctricos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1715,,,,OIL COOLER COMPLETE / Enfriador de aceite completo,,,som20293,277484006,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1716,,,,PM OIL RADIATOR / Radiador de aceite PM,,,SOM20294,66337005,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1717,,,,REPLACEMENT FAN FOR HYD OIL COOLER / Ventilador de repuesto para enfriador de aceite HYS,,,SOM20296,573969 / 409337,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1719,,,,Temperature transmitter 55 degree C / Transmisor de temperatura 55°C,,,SOM20298,6786005,Putzmeister,Elementos de medición y control,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1722,,,,Control box 24 VDC for ZSK / Caja de control 24 VDC para ZSK,,,SOM20304,493715,Putzmeister,Componentes eléctricos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1723,,,,Swichtbox 24V / Caja de interruptores 24V,,,SOM20305,238390003,Putzmeister,Componentes eléctricos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1724,,,,Change / over relay 24 V / Relé de conmutación 24V,,,SOM20306,65034008,Putzmeister,Componentes eléctricos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1725,,,,Relay 24V / Relé 24V,,,SOM20307,225684007,Putzmeister,Componentes eléctricos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1726,,,,Relay module 24V / Módulo de relé 24V,,,SOM20309,244372002,Putzmeister,Componentes eléctricos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1727,,,,Step relay 24V / Relé escalonado 24V,,,SOM20310,27845007,Putzmeister,Componentes eléctricos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1728,,,,Poh reverse electronic 10-32V / Electrónico inversor POH 10/32V,,,SOM20311,555644,Putzmeister,Componentes eléctricos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1735,,,,HOSE CLIP / Abrazadera para manguera,,,SOM20323,16368008,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1736,,,,Pressure gauge 60 Bar / Manómetro 60 Bar,,,SOM20324,16372007,Putzmeister,Elementos de medición y control,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1738,,,,Vacuum gauge / Manómetro de vacío,,,SOM20326,60440008,Putzmeister,Elementos de medición y control,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1739,,,,Main pump A4VG125 / Bomba principal A4VG125,,,SOM20327,266680002,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1742,,,,Hydraulic pump L a7V28 (24) DR / Bomba hidráulica A7V28 (24) DR,,,SOM20330,276120002,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1743,,,,Hydraulic pump / Bomba hidráulica,,,SOM20331,279532008,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1744,,,,Hydraulic pump / Bomba hidráulica,,,SOM20332,6792005,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1746,,,,Flushing water pump with hydraulic pump / Bomba de agua de lavado con bomba hidráulica,,,SOM20335,231344001,Putzmeister,Sistema de bombeo de concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1747,,,,FLUSHING WATER PUMP WHITOUT HYDRAULIC PUMP / Bomba de agua de lavado (sin bomba hidráulica),,,SOM20336,229179000,Putzmeister,Sistema de bombeo de concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1750,,,,Fork - G64 / Horquilla G64,,,SOM20340,28493006,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1751,,,,Fork - G64 / Horquilla G64,,,SOM20341,28496003,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1753,,,,Coupling piece / Pieza de acoplamiento,,,SOM20343,258683004,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1754,,,,INPUT SHAFT / Eje de entrada,,,SOM20346,294940009,Putzmeister,Transmisión mecánica,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1755,,,,Bush 275X280X077 DU NUT / Buje 275x280x077 DU NUT,,,SOM20354,58827002,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1756,,,,Buje 275x280x077 DU NUT / Bush 275X280X077 DU NUT,,,SOM20354,58827002,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1757,,,,Throat bushing / Buje de garganta,,,SOM20355,240046002,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1758,,,,Bush 350 X 355 X 077 DU-B NUT / Buje 350x355x077 DU/B NUT,,,SOM20356,58828001,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1759,,,,Buje 288x293x45 DU-B NUT,,,SOM20358,63732001,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1760,,,,Pressure plate / Placa de presión,,,SOM20361,87162000,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1762,,,,Seal set for MBC valve / Juego de sellos para válvula MBC,,,SOM20363,471710,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1766,75045880338,,,Balero y taza MTM,,,82213/82215,,Olla Revolvedora,,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1782,75045880256,,,"Horquilla 1/4"" P/Cble de control o aceleración",,,800,,Olla Revolvedora,,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1786,75045880301,,,KIT PARA BALERO PIVOTE TRASERO,,,153310BK,,Olla Revolvedora,,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1820,,,,EMBOLO DN230 PARA BOMBA DE HORMIGON,,,,,Olla Revolvedora,,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1821,,,,115/80 Seal Set / Juego de sellos 115/80,,,SOM20412,231238007 / 448478,Putzmeister,Sellos y Retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
